ID,gender,Team,Background,Pro level,Winter Training Camp,altitude_results,vo2_results,hr_results,dob,Continent
60,male,group A,Sprinter,Continental,none,43,44,39,2005-09-08,Africa
61,female,group D,Hill,Continental,completed,83,97,100,2000-01-14,North America
62,female,group C,Mountain,Continental,none,80,81,80,1991-09-07,Australia
63,female,group C,Sprinter,World Tour,none,82,85,88,1999-01-23,Europe
64,female,group A,Hill,World Tour,none,67,75,70,2000-07-09,Australia
65,female,group C,None,World Tour,none,67,84,82,1992-01-13,North America
66,female,group D,Hill,World Tour,none,80,80,79,1994-03-22,Africa
67,female,group A,None,World Tour,completed,76,78,75,2001-10-29,Asia
68,female,group C,Cobblestones,Continental,none,57,62,59,1989-04-25,South America
69,female,group B,Time Trial,Continental,none,44,60,57,1996-06-24,Asia
70,female,group B,Hill,World Tour,none,69,76,72,1988-05-12,Asia
71,male,group A,Time Trial,World Tour,none,57,53,49,1991-03-25,South America
72,female,group E,None,World Tour,none,71,71,80,2001-01-31,South America
73,male,group B,Hill,World Tour,none,48,39,38,1999-06-08,North America
74,male,group E,Time Trial,Continental,completed,93,84,83,2000-04-08,Africa
75,male,group A,Cobblestones,World Tour,none,63,63,62,1997-02-07,Africa
76,female,group C,Cobblestones,World Tour,completed,56,60,62,1992-11-02,South America
77,female,group C,Hill,Continental,none,60,76,65,2001-01-15,South America
78,male,group C,Sprinter,Continental,none,50,52,50,2002-05-16,Australia
79,female,group C,Time Trial,World Tour,none,68,78,81,1997-01-19,Europe
80,female,group B,Hill,World Tour,none,65,70,71,1994-11-18,Asia
81,female,group E,Hill,World Tour,completed,98,92,98,1998-11-12,North America
82,female,group D,Hill,Continental,none,59,70,66,1988-09-22,Australia
83,male,group D,Cobblestones,Continental,completed,61,71,70,2001-07-14,Asia
84,male,group D,None,Continental,none,61,58,60,1999-03-16,Asia
85,female,group B,None,World Tour,none,60,65,67,1991-06-24,Australia
86,male,group D,Cobblestones,Continental,completed,53,55,57,1990-08-12,Australia
87,male,group B,Sprinter,World Tour,none,65,55,50,1993-04-30,South America
88,male,group B,Time Trial,World Tour,completed,47,55,56,2000-07-27,Asia
89,male,group C,None,World Tour,none,76,74,73,1999-04-19,North America
90,male,group E,Hill,World Tour,completed,82,83,80,1989-03-11,Europe
91,male,group B,Time Trial,World Tour,none,71,68,71,1992-11-28,North America
92,female,group C,Cobblestones,World Tour,completed,70,73,73,1993-12-10,Africa
93,female,group C,Sprinter,World Tour,none,63,82,74,1997-08-19,South America
94,male,group C,Cobblestones,World Tour,none,68,58,55,1989-11-01,Europe
95,female,group C,None,Continental,completed,51,71,64,1991-06-16,North America
96,female,group E,Cobblestones,World Tour,none,92,97,89,1985-06-14,Europe
97,female,group E,None,World Tour,none,82,84,82,1995-05-09,Asia
98,female,group E,Cobblestones,World Tour,completed,75,80,82,2000-07-01,North America
99,male,group A,None,World Tour,completed,96,92,91,1991-10-27,Asia
100,female,group C,None,World Tour,none,41,50,48,1993-05-03,Europe
101,male,group B,Mountain,Continental,completed,51,42,47,2000-01-31,Australia
102,male,group D,None,World Tour,none,81,75,74,1987-02-26,Australia
103,female,group C,None,Continental,none,43,60,55,1989-01-10,Australia
104,female,group C,Cobblestones,World Tour,none,71,71,70,2002-07-05,North America
105,female,group C,Time Trial,Continental,completed,54,69,70,1993-05-21,Asia
106,male,group B,Hill,World Tour,none,63,61,56,1992-11-26,North America
107,male,group D,None,Continental,none,42,39,44,1987-03-10,Australia
108,male,group C,Sprinter,World Tour,none,44,41,29,2004-09-29,North America
109,female,group C,Time Trial,Continental,none,83,85,85,1995-04-08,Australia
110,female,group D,None,Continental,none,58,78,71,1998-04-15,South America
111,male,group A,Time Trial,Continental,completed,64,70,64,1999-02-04,Africa
112,female,group E,None,World Tour,completed,79,82,85,1990-10-30,Australia
113,female,group D,None,World Tour,none,74,79,79,2002-08-07,Asia
114,male,group E,Sprinter,Continental,none,70,82,71,1987-02-14,South America
115,female,group A,Mountain,World Tour,none,66,75,70,2000-12-03,North America
116,male,group A,Hill,World Tour,none,74,75,67,1996-02-24,Asia
117,female,group C,Time Trial,World Tour,completed,75,79,82,2000-07-30,Europe
118,female,group E,Sprinter,World Tour,none,88,93,90,1996-03-11,Africa
119,male,group B,Hill,World Tour,completed,75,73,67,2001-04-26,Asia
120,male,group D,None,World Tour,completed,61,53,60,2005-02-04,South America
121,male,group B,Hill,World Tour,none,55,47,51,1996-03-24,North America
122,male,group C,Hill,World Tour,none,66,62,52,1989-08-24,Europe
123,female,group D,None,World Tour,completed,70,69,81,1997-10-24,Asia
124,female,group B,None,World Tour,completed,61,67,71,1987-06-28,Asia
125,female,group B,None,Continental,none,37,39,41,2005-05-02,North America
126,female,group B,Time Trial,World Tour,completed,73,88,89,2003-04-18,Europe
127,male,group B,Hill,World Tour,none,61,61,58,2001-02-23,Europe
128,female,group C,Hill,World Tour,completed,41,56,55,1998-12-13,Europe
129,male,group B,Hill,Continental,completed,74,75,73,1993-05-28,Asia
130,male,group A,None,World Tour,none,85,72,74,1996-07-31,Europe
131,female,group D,Sprinter,Continental,completed,52,59,60,2005-06-30,South America
132,female,group E,Sprinter,World Tour,completed,60,74,78,1991-12-04,North America
133,female,group C,None,Continental,none,71,74,77,1990-03-19,Asia
134,female,group C,Cobblestones,World Tour,none,72,87,77,1998-01-28,Europe
135,female,group A,Hill,World Tour,none,60,64,68,1997-05-18,North America
136,female,group D,Sprinter,World Tour,completed,70,66,64,1999-04-14,Europe
137,male,group C,Time Trial,World Tour,none,87,79,80,1985-05-24,South America
138,male,group D,Cobblestones,World Tour,none,57,51,45,2003-05-17,North America
139,male,group C,None,World Tour,completed,96,96,98,1985-06-18,South America
140,male,group D,Hill,World Tour,completed,96,86,92,1992-08-18,South America
141,female,group A,None,Continental,none,48,58,56,2002-01-09,Africa
142,female,group B,None,World Tour,none,70,82,82,1999-04-27,Europe
143,male,group B,None,Continental,none,53,36,40,2005-07-22,Australia
144,female,group B,None,World Tour,completed,67,83,82,2000-12-09,South America
145,female,group E,Cobblestones,World Tour,completed,81,79,79,1988-06-09,Australia
146,female,group B,Cobblestones,World Tour,none,78,84,80,1990-08-05,Europe
147,male,group D,None,Continental,completed,58,49,47,2002-04-28,Africa
148,female,group C,Hill,World Tour,none,70,74,67,1995-01-31,North America
149,female,group B,Cobblestones,World Tour,none,37,56,54,2004-02-18,South America
150,male,group D,None,World Tour,completed,70,66,62,1991-11-21,Asia
151,female,group C,None,World Tour,completed,81,85,93,1998-04-10,South America
152,male,group B,Hill,World Tour,none,72,68,67,1987-04-22,Europe
153,female,group D,Time Trial,Continental,completed,77,87,94,1987-08-24,South America
154,male,group D,Cobblestones,World Tour,completed,87,87,80,1997-06-08,Europe
155,male,group A,Sprinter,World Tour,none,77,61,65,1987-08-01,Africa
156,female,group D,Mountain,World Tour,none,82,86,87,2001-01-03,North America
157,female,group C,None,World Tour,none,58,67,68,2001-06-20,Europe
158,female,group E,Sprinter,World Tour,none,81,91,90,1997-05-06,Asia
159,female,group D,Cobblestones,World Tour,none,64,66,65,1991-11-08,South America
160,female,group B,Mountain,World Tour,completed,80,78,80,1990-11-22,South America
161,female,group C,Time Trial,World Tour,none,66,75,72,1986-02-26,Europe
162,male,group D,Sprinter,Continental,completed,71,75,67,1995-06-22,Europe
163,female,group B,Hill,World Tour,none,62,73,68,1988-08-01,Australia
164,male,group C,None,Continental,none,63,57,57,1992-03-29,South America
165,male,group D,Hill,World Tour,none,75,67,68,1986-11-18,South America
166,male,group E,Mountain,Continental,completed,92,90,82,1990-05-03,Australia
167,female,group C,Cobblestones,World Tour,none,54,58,54,1992-09-20,Asia
168,female,group D,Time Trial,World Tour,completed,75,85,89,1990-07-24,North America
169,female,group C,Time Trial,Continental,none,63,71,71,2003-04-15,Europe
170,male,group B,Sprinter,Continental,completed,52,62,54,1999-01-30,South America
171,male,group B,Time Trial,Continental,completed,63,61,58,1992-01-03,North America
172,male,group D,Sprinter,World Tour,none,80,58,65,1999-01-07,Europe
173,male,group E,Time Trial,World Tour,none,75,63,63,2002-01-13,Europe
174,male,group E,None,World Tour,none,84,79,74,1999-02-24,Europe
175,female,group E,None,World Tour,completed,83,83,80,1992-11-16,South America
176,male,group B,None,World Tour,completed,77,82,78,1995-07-06,Australia
177,male,group B,Hill,Continental,completed,54,68,63,1991-06-01,Africa
178,female,group A,Hill,World Tour,none,71,86,84,2001-11-09,Europe
179,female,group D,Hill,World Tour,completed,77,83,93,2003-01-25,Europe
180,male,group B,Cobblestones,Continental,completed,57,59,51,1996-06-04,Australia
181,male,group D,Sprinter,Continental,none,62,57,57,1990-08-22,Europe
182,male,group E,Time Trial,World Tour,none,73,71,71,1985-09-12,South America
183,male,group C,Hill,World Tour,none,77,62,62,1998-10-29,Europe
184,male,group C,Sprinter,World Tour,none,75,74,68,1985-06-04,Asia
185,male,group C,Hill,Continental,none,44,40,31,2005-08-25,North America
186,female,group E,Sprinter,World Tour,completed,78,77,78,1990-12-15,Asia
187,female,group C,Cobblestones,World Tour,none,51,68,62,2002-12-08,Australia
188,male,group C,Hill,World Tour,none,85,88,84,1992-11-30,Africa
189,female,group B,Sprinter,World Tour,completed,69,75,80,1992-12-06,Australia
190,female,group D,Hill,World Tour,completed,72,85,88,2004-12-26,South America
191,female,group C,None,World Tour,none,61,77,70,1991-04-14,North America
192,female,group D,Time Trial,Continental,completed,52,66,77,2005-04-08,North America
193,female,group E,None,World Tour,completed,67,75,73,1995-06-28,South America
194,female,group C,Cobblestones,World Tour,completed,73,78,79,1996-11-16,South America
195,male,group C,None,World Tour,completed,78,75,72,1990-10-15,North America
196,female,group B,Sprinter,World Tour,completed,50,72,68,1998-12-31,Europe
197,male,group C,Hill,Continental,none,86,75,77,2000-07-16,North America
198,female,group D,Cobblestones,World Tour,none,68,63,67,1994-06-01,Asia
199,female,group B,Mountain,Continental,none,65,80,79,1993-12-24,South America
200,female,group E,Hill,Continental,completed,72,86,88,2004-05-02,Australia
201,male,group B,Sprinter,Continental,none,28,32,34,1987-01-02,South America
202,female,group C,Time Trial,World Tour,none,70,81,76,2004-08-11,Africa
203,female,group C,Time Trial,World Tour,none,70,85,79,1997-08-10,Asia
204,male,group D,Sprinter,World Tour,none,73,73,73,1996-05-31,Australia
205,female,group B,Hill,World Tour,none,67,80,76,1991-09-15,North America
206,male,group E,Hill,World Tour,completed,89,77,75,2003-04-24,Europe
207,female,group C,Time Trial,World Tour,none,58,68,67,2005-06-14,Europe
208,female,group B,Time Trial,World Tour,none,73,76,70,1985-12-05,Asia
209,male,group D,Sprinter,World Tour,none,69,65,64,2004-10-12,South America
210,male,group A,Hill,Continental,none,70,79,75,1996-06-30,Australia
211,female,group B,Sprinter,Continental,none,51,56,47,1985-02-21,South America
212,female,group D,Sprinter,Continental,completed,54,65,66,1995-06-13,South America
213,female,group D,Time Trial,World Tour,completed,87,98,100,2002-04-10,South America
214,male,group C,Sprinter,Continental,completed,58,48,51,2002-05-15,North America
215,male,group B,Hill,World Tour,none,81,71,75,1990-03-19,Asia
216,male,group B,None,Continental,none,56,52,46,2005-08-01,Africa
217,female,group B,Mountain,World Tour,completed,74,81,84,2003-04-02,Europe
218,female,group C,None,World Tour,none,60,74,65,2000-06-27,Europe
219,female,group C,None,World Tour,none,46,61,55,1988-08-24,South America
220,female,group B,Sprinter,Continental,completed,51,52,55,1987-07-01,Asia
221,female,group D,Sprinter,Continental,completed,65,69,73,1986-03-11,South America
222,female,group E,Time Trial,Continental,completed,90,100,100,2001-08-20,Africa
223,male,group A,None,World Tour,none,62,60,59,1989-11-23,Africa
224,female,group D,Mountain,World Tour,none,87,100,100,2003-08-12,South America
225,male,group E,Sprinter,Continental,completed,62,62,55,1985-10-02,Europe
226,male,group D,Hill,World Tour,completed,87,86,87,2001-10-01,Australia
227,male,group D,Sprinter,World Tour,none,78,75,66,2005-02-16,North America
228,male,group D,Hill,World Tour,none,81,77,83,1988-01-07,Africa
229,female,group B,Cobblestones,World Tour,none,70,81,78,1993-10-24,Africa
230,male,group E,Sprinter,World Tour,none,63,49,46,2005-02-09,North America
231,male,group E,None,Continental,none,55,50,43,2002-01-18,Europe
232,male,group E,Time Trial,World Tour,none,73,66,66,1988-12-18,North America
233,female,group D,Hill,Continental,completed,54,65,69,1996-02-07,North America
234,female,group E,Hill,Continental,completed,67,89,91,1992-02-20,Europe
235,female,group B,Time Trial,World Tour,none,81,83,85,1997-10-17,Asia
236,female,group C,Cobblestones,World Tour,none,62,69,65,1990-05-14,South America
237,female,group B,Mountain,Continental,completed,66,92,92,1994-11-09,Europe
238,female,group B,Sprinter,World Tour,completed,49,54,61,1999-06-11,Africa
239,female,group C,Hill,World Tour,none,58,68,67,2001-07-04,South America
240,male,group A,Time Trial,World Tour,none,57,64,67,1995-01-31,South America
241,female,group E,Time Trial,Continental,completed,75,74,78,1995-01-06,North America
242,female,group C,Time Trial,World Tour,none,59,63,58,1996-06-02,North America
243,female,group B,Hill,Continental,completed,76,75,82,2005-12-30,Australia
244,male,group C,None,World Tour,none,66,70,62,2005-07-19,Europe
245,male,group B,Time Trial,Continental,completed,74,82,84,1993-12-17,South America
246,male,group B,Hill,Continental,none,52,58,48,1994-06-17,Africa
247,female,group D,Sprinter,Continental,none,57,77,71,2004-03-26,Asia
248,male,group B,None,World Tour,completed,75,73,70,1993-08-05,Australia
249,male,group B,Sprinter,World Tour,none,56,53,50,1995-10-03,Europe
250,male,group D,Time Trial,World Tour,none,76,87,85,1998-07-18,Europe
251,male,group B,Sprinter,World Tour,none,72,69,67,1985-12-12,North America
252,male,group E,None,Continental,none,63,58,56,2003-08-22,Africa
253,male,group B,Mountain,Continental,completed,84,85,84,1991-05-21,Australia
254,male,group E,Hill,World Tour,none,67,54,46,1989-03-01,North America
255,female,group B,None,World Tour,none,60,68,64,2000-11-24,Asia
256,male,group C,None,World Tour,completed,93,82,89,1986-09-06,South America
257,male,group C,Hill,World Tour,none,67,59,50,1989-03-09,Europe
258,male,group D,None,World Tour,completed,72,73,74,2002-12-10,North America
259,female,group B,Time Trial,World Tour,none,85,85,90,1993-11-05,South America
260,female,group E,None,Continental,none,76,77,79,1992-05-18,Africa
261,male,group D,None,World Tour,none,62,66,62,1985-08-17,Africa
262,male,group D,Mountain,Continental,completed,46,48,49,1992-07-03,Europe
263,female,group E,Sprinter,World Tour,none,92,92,88,1986-03-30,South America
264,male,group D,Sprinter,World Tour,none,73,60,64,1998-02-08,Australia
265,female,group B,Sprinter,World Tour,none,56,60,65,1986-07-13,Africa
266,female,group E,Cobblestones,Continental,none,68,75,67,2002-01-26,Asia
267,male,group B,Hill,Continental,completed,87,79,85,1995-11-22,South America
268,female,group D,Cobblestones,World Tour,none,80,93,92,1991-06-01,South America
269,female,group D,Cobblestones,World Tour,completed,54,64,69,1987-04-19,Asia
270,female,group B,Cobblestones,Continental,completed,31,54,50,2004-09-02,North America
271,female,group C,None,World Tour,completed,74,89,90,1992-07-17,Africa
272,male,group D,Cobblestones,Continental,none,82,74,70,1989-08-26,Australia
273,male,group B,Mountain,World Tour,none,49,44,43,1993-01-28,Asia
274,male,group C,None,World Tour,none,91,91,86,2001-12-16,Africa
275,female,group C,Sprinter,World Tour,none,81,90,90,2003-01-24,Europe
276,male,group C,None,World Tour,completed,71,74,73,1996-03-12,North America
277,male,group E,None,World Tour,completed,99,82,85,1997-01-23,South America
278,female,group D,Hill,Continental,none,44,58,60,1995-09-13,Asia
279,male,group E,Hill,Continental,none,78,80,73,1995-12-29,Africa
280,female,group B,Cobblestones,World Tour,none,50,56,62,1992-11-24,North America
281,female,group C,Time Trial,Continental,completed,53,71,65,1988-06-05,South America
282,female,group B,Cobblestones,World Tour,completed,76,92,93,2002-01-06,Europe
283,female,group D,Time Trial,World Tour,none,97,100,97,1994-09-08,Africa
284,female,group C,Hill,World Tour,completed,66,81,88,1999-04-26,Asia
285,female,group A,Cobblestones,World Tour,none,51,64,54,2002-02-09,Asia
286,female,group D,Sprinter,World Tour,none,51,63,66,2005-05-18,Europe
287,male,group C,Sprinter,Continental,completed,57,58,60,2004-01-12,South America
288,male,group D,Sprinter,World Tour,none,75,83,78,2003-05-04,Asia
289,male,group B,None,Continental,completed,61,60,60,1990-09-10,South America
290,female,group C,None,World Tour,completed,53,61,57,1988-03-11,Europe
291,female,group C,Mountain,World Tour,none,78,83,87,1985-02-14,North America
292,female,group C,None,World Tour,none,47,67,67,1985-12-31,Africa
293,male,group D,Hill,World Tour,none,77,69,75,1997-09-09,Africa
294,male,group C,None,World Tour,completed,71,80,74,1987-01-09,South America
295,male,group C,Sprinter,Continental,completed,49,52,52,1999-06-03,South America
296,female,group C,Hill,World Tour,none,28,49,40,1991-04-17,Australia
297,male,group D,Hill,World Tour,none,60,65,62,1997-10-08,Africa
298,female,group C,Hill,World Tour,completed,73,73,79,1997-04-26,Europe
299,female,group C,Sprinter,World Tour,none,40,48,48,1987-04-02,Africa
300,male,group C,Cobblestones,World Tour,completed,76,79,77,1993-02-13,Africa
301,female,group B,Cobblestones,World Tour,completed,60,75,73,2000-07-12,Australia
302,male,group C,None,Continental,completed,44,44,43,1986-10-21,Africa
303,male,group C,Hill,World Tour,none,55,54,47,1989-08-13,North America
304,female,group B,Time Trial,World Tour,none,82,89,96,2002-07-18,Asia
305,female,group E,Cobblestones,World Tour,completed,78,75,78,2004-01-07,North America
306,female,group C,None,Continental,none,49,62,62,1993-11-13,Africa
307,female,group C,Sprinter,Continental,none,36,47,46,2001-04-04,South America
308,female,group B,Cobblestones,World Tour,completed,42,53,56,1995-02-11,Africa
309,female,group E,Sprinter,World Tour,none,49,57,56,1985-12-03,North America
310,male,group C,Hill,Continental,none,77,68,63,2003-06-11,Europe
311,female,group C,None,Continental,none,42,62,56,2000-11-14,Australia
312,male,group E,Hill,Continental,completed,100,93,94,1997-09-30,North America
313,female,group E,Hill,World Tour,completed,60,60,64,1989-08-23,Europe
314,male,group D,Sprinter,World Tour,none,65,74,68,1989-05-24,Africa
315,female,group A,Sprinter,World Tour,none,59,71,71,2004-11-26,Asia
316,male,group D,None,Continental,completed,65,70,69,1987-03-19,Europe
317,male,group A,None,World Tour,completed,74,70,75,1995-06-12,Asia
318,male,group B,None,Continental,none,48,50,46,1987-08-14,Australia
319,female,group C,None,World Tour,none,57,56,59,1991-01-25,North America
320,male,group B,Hill,Continental,none,62,58,52,1987-08-21,Asia
321,male,group E,None,World Tour,none,70,49,48,1995-07-26,South America
322,male,group B,None,Continental,none,69,72,64,1998-04-19,Europe
323,male,group D,None,World Tour,completed,91,91,90,1985-05-19,North America
324,male,group C,Hill,Continental,none,50,44,44,1996-08-06,North America
325,male,group B,None,Continental,none,53,53,52,2000-12-05,North America
326,female,group D,Time Trial,World Tour,none,44,55,59,1988-10-09,South America
327,male,group E,None,World Tour,none,65,53,47,1990-06-18,Europe
328,female,group B,Time Trial,World Tour,none,64,70,75,2001-07-24,Australia
329,male,group A,None,Continental,none,44,46,34,1999-10-01,Europe
330,male,group D,Sprinter,Continental,none,82,75,75,1994-03-08,South America
331,male,group C,Hill,Continental,none,75,66,64,1989-06-05,North America
332,male,group C,None,World Tour,completed,82,79,71,1999-10-23,North America
333,female,group D,Hill,Continental,none,66,76,72,1987-10-29,Australia
334,male,group B,Cobblestones,Continental,none,44,50,47,1999-12-11,South America
335,male,group E,None,World Tour,none,87,69,74,1990-07-10,Australia
336,female,group B,None,World Tour,none,90,92,97,1992-10-05,Australia
337,male,group B,Mountain,Continental,none,81,85,73,2001-11-21,Australia
338,male,group C,Hill,Continental,none,70,69,72,2005-08-01,Australia
339,male,group D,Cobblestones,World Tour,none,70,56,60,1992-01-26,South America
340,female,group B,Sprinter,Continental,none,68,69,67,1998-07-01,North America
341,male,group D,Cobblestones,World Tour,none,67,52,49,1998-03-26,Africa
342,female,group C,None,Continental,completed,57,62,65,1985-03-01,North America
343,female,group C,Mountain,World Tour,completed,89,94,93,2003-02-08,South America
344,male,group C,None,World Tour,completed,81,76,80,2005-03-20,North America
345,female,group B,None,World Tour,none,48,59,60,2002-02-06,Africa
346,female,group C,Mountain,World Tour,none,56,70,59,1990-08-03,Europe
347,female,group B,Sprinter,Continental,none,33,46,40,1990-12-29,Europe
348,female,group C,Hill,World Tour,completed,71,77,83,1985-12-21,Australia
349,female,group E,Mountain,World Tour,completed,93,100,100,1998-10-23,South America
350,female,group D,Cobblestones,Continental,none,47,49,41,1995-06-08,Australia
351,female,group C,Hill,Continental,completed,62,78,72,1993-09-14,Africa
352,male,group E,Cobblestones,World Tour,completed,68,62,62,1997-05-22,Asia
353,male,group A,None,World Tour,completed,71,74,70,1991-05-15,Europe
354,female,group C,None,Continental,completed,47,71,65,1988-05-31,South America
355,female,group B,Time Trial,World Tour,none,74,82,85,1994-03-22,North America
356,male,group D,Sprinter,Continental,none,46,41,40,1985-03-20,Africa
357,male,group B,Cobblestones,World Tour,none,58,61,55,2003-03-13,North America
358,male,group D,Cobblestones,Continental,none,54,48,37,2002-09-09,South America
359,female,group A,Sprinter,World Tour,none,44,46,44,1994-12-03,North America
360,female,group C,None,World Tour,none,59,66,62,1986-06-25,Europe
361,male,group A,Time Trial,Continental,completed,75,76,74,1995-10-07,Asia
362,female,group D,Cobblestones,World Tour,none,56,69,64,1997-01-16,North America
363,female,group A,Hill,World Tour,completed,63,65,71,1988-10-13,South America
364,female,group B,Mountain,World Tour,none,72,79,73,1996-03-29,Europe
365,male,group C,Sprinter,Continental,none,64,63,53,1989-09-04,North America
366,female,group B,Cobblestones,World Tour,none,47,61,58,1998-04-14,Australia
367,female,group C,Cobblestones,Continental,none,62,69,64,1995-03-23,North America
368,female,group D,Time Trial,World Tour,none,58,67,75,2001-07-20,Australia
369,male,group C,Time Trial,World Tour,none,63,61,56,1989-09-13,South America
370,male,group D,Cobblestones,World Tour,none,87,83,78,1986-07-18,Africa
371,female,group D,Hill,Continental,none,66,60,61,1998-12-14,Australia
372,female,group B,Hill,World Tour,none,78,93,89,2000-12-14,Australia
373,female,group C,Time Trial,World Tour,none,88,86,95,1996-08-31,Europe
374,male,group A,Cobblestones,World Tour,completed,46,46,48,2003-03-15,North America
375,male,group C,Sprinter,World Tour,none,71,70,66,1992-12-02,Africa
376,male,group D,Time Trial,World Tour,completed,91,97,100,1987-02-04,Asia
377,female,group D,Hill,Continental,completed,79,96,91,1988-11-05,Europe
378,female,group B,None,Continental,completed,63,78,81,2000-03-01,South America
379,female,group C,Hill,World Tour,completed,53,78,76,1998-12-05,North America
380,female,group E,Sprinter,World Tour,completed,96,86,89,2003-02-01,Australia
381,female,group E,Hill,Continental,none,79,76,82,1999-12-31,Australia
382,male,group C,Cobblestones,World Tour,none,71,64,67,1997-06-08,Europe
383,female,group C,None,World Tour,completed,77,79,84,1995-11-22,Australia
384,female,group E,Mountain,Continental,none,61,75,75,1996-06-03,Asia
385,male,group C,Time Trial,World Tour,none,60,73,69,1999-05-21,North America
386,female,group D,Hill,World Tour,completed,73,84,97,1997-08-01,Asia
387,male,group C,Hill,Continental,none,60,56,52,1988-10-08,Africa
388,female,group B,Time Trial,World Tour,none,58,65,70,1992-11-13,South America
389,male,group C,Hill,Continental,completed,73,79,78,1999-03-31,Europe
390,male,group C,None,Continental,none,79,76,69,1989-06-05,Europe
391,male,group D,None,World Tour,none,57,52,47,2000-09-14,Asia
392,male,group E,Hill,World Tour,none,92,82,82,2001-08-23,Africa
